n,Mint price,Contribution to pool,Contribution to cause,Pool size,Binomial probability,Investor 1,,Investor 3,,,Investor 6,Investor 7,Investor 8,Investor 9,Investor 10,Investor 11,Investor 12,Investor 13,Investor 14,Investor 15,Investor 16,Investor 17,Investor 18
1,0.0025,0.002000,0.000500,0.002000,0.00390625,,,,,,,,,,,,,,,,,,
2,0.002500562493,0.002000,0.000500,0.004000,0.007797241211,,,,,,,,,,,,,,,,,,
3,0.002502249888,0.002002,0.000500,0.006002,0.01167303324,,,,,,,,,,,,,,,,,,
4,0.002505061931,0.002004,0.000501,0.008006,0.01553368545,,,,,,,,,,,,,,,,,,
5,0.0025089982,0.002007,0.000502,0.010013,0.01937925699,,,,,,,,,,,,,,,,,,
6,0.002514058106,0.002011,0.000503,0.012025,0.02320980677,,,,,,,,,,,,,,,,,,
7,0.00252024089,0.002016,0.000504,0.014041,0.02702539346,,,,,,,,,,,,,,,,,,
8,0.002527545625,0.002022,0.000506,0.016063,0.03082607552,,,,,,,,,,,,,,,,,,
9,0.002535971215,0.002029,0.000507,0.018092,0.03461191116,,,,,,,,,,,,,,,,,,
10,0.002545516399,0.002036,0.000509,0.020128,0.03838295838,,,,,,,,,,,,,,,,,,
11,0.002556179746,0.002045,0.000511,0.022173,0.04213927495,,,,,,,,,,,,,,,,,,
12,0.002567959659,0.002054,0.000514,0.024227,0.04588091841,,,,,,,,,,,,,,,,,,
13,0.002580854375,0.002065,0.000516,0.026292,0.04960794607,,,,,,,,,,,,,,,,,,
14,0.002594861963,0.002076,0.000519,0.028368,0.05332041503,,,,,,,,,,,,,,,,,,
15,0.002609980328,0.002088,0.000522,0.030456,0.05701838216,,,,,,,,,,,,,,,,,,
16,0.002626207209,0.002101,0.000525,0.032557,0.06070190411,,,,,,,,,,,,,,,,,,
17,0.002643540181,0.002115,0.000529,0.034672,0.06437103729,,,,,,,,,,,,,,,,,,
18,0.002661976655,0.002130,0.000532,0.036801,0.06802583793,,,,,,,,,,,,,,,,,,
19,0.002681513876,0.002145,0.000536,0.038947,0.071666362,,,,,,,,,,,,,,,,,,
20,0.002702148931,0.002162,0.000540,0.041108,0.07529266527,,,,,,,,,,,,,,,,,,
21,0.002723878741,0.002179,0.000545,0.043287,0.0789048033,,,,,,,,,,,,,,,,,,
22,0.002746700067,0.002197,0.000549,0.045485,0.08250283141,,,,,,,,,,,,,,,,,,
23,0.002770609511,0.002216,0.000554,0.047701,0.08608680473,,,,,,,,,,,,,,,,,,
24,0.002795603513,0.002236,0.000559,0.049938,0.08965677815,,,,,,,,,,,,,,,,,,
25,0.002821678357,0.002257,0.000564,0.052195,0.09321280636,,,,,,,,,,,,,,,,,,
26,0.002848830167,0.002279,0.000570,0.054474,0.09675494383,,,,,,,,,,,,,,,,,,
27,0.002877054912,0.002302,0.000575,0.056776,0.1002832448,,,,,,,,,,,,,,,,,,
28,0.002906348403,0.002325,0.000581,0.059101,0.1037977634,,,,,,,,,,,,,,,,,,
29,0.002936706298,0.002349,0.000587,0.061450,0.1072985534,,,,,,,,,,,,,,,,,,
